point,radio_id,physical_ap,band_ghz,rssi_dbm,channel
A,AP-C-5G,AP-C,5,-49,60
A,AP-B-5G,AP-B,5,-76,100
B,AP-C-5G,AP-C,5,-83,60
B,AP-A-5G-1,AP-A,5,-57,116
B,AP-A-5G-2,AP-A,5,-47,149
C,AP-C-5G,AP-C,5,-57,60
C,AP-A-5G-1,AP-A,5,-84,40
C,AP-A-5G-2,AP-A,5,-75,116
C,AP-B-5G,AP-B,5,-76,100
D,AP-C-5G,AP-C,5,-75,60
D,AP-A-5G-1,AP-A,5,-79,40
D,AP-A-5G-2,AP-A,5,-68,116
D,AP-B-5G,AP-B,5,-78,100
E,AP-C-5G,AP-C,5,-61,60
E,AP-A-5G-2,AP-A,5,-79,116
E,AP-B-5G,AP-B,5,-75,100
F,AP-C-5G,AP-C,5,-80,60
F,AP-B-5G,AP-B,5,-59,100
G,AP-D-5G,AP-D,5,-59,36
G,AP-D-2G,AP-D,2.4,-69,6
H,AP-A-5G-1,AP-A,5,-84,40
H,AP-A-5G-2,AP-A,5,-71,116
I,AP-C-5G,AP-C,5,-72,60
I,AP-A-5G-2,AP-A,5,-83,116
I,AP-B-5G,AP-B,5,-80,100
I,AP-D-5G,AP-D,5,-75,36
